processed_intent,processed_class,processed_attributes,processed_filter_attributes,processed_key_quantity,id,user_msg,expected_intent,expected_class,expected_attributes,expected_filter_attributes,expected_key_quantity,dataset
add,student,"{'name': 'anderson martins gomes', 'age': '20'}",{},,26c5addb-0820-4d2c-9583-81f845178308,"add student with name=anderson martins gomes, age=20",add,student,"{'name': 'anderson martins gomes', 'age': '20'}",{},2,ORIGINAL
add,subject,"{'name': 'brazilian history', 'description': 'the history of brazil'}",{},,84740bfb-18a8-4b9a-b6f4-7633cc1c88ee,"add subject with name=brazilian history, description=the history of brazil",add,subject,"{'name': 'brazilian history', 'description': 'the history of brazil'}",{},2,ORIGINAL
add,teacher,"{'name': 'paulo henrique', 'age': '65', 'email': 'ph@uece.br'}",{},,eb995462-1f55-4c92-b22d-bf1384817eff,"add teacher with name=paulo henrique, age=65, email=ph@uece.br",add,teacher,"{'name': 'paulo henrique', 'age': '65', 'email': 'ph@uece.br'}",{},3,ORIGINAL
add,subject,"{'name': 'math', 'description': 'the best subject ever'}",{},,4ae61a24-35af-43fd-9aa0-31a4ba047489,"add subject with name=math, description=the best subject ever",add,subject,"{'name': 'math', 'description': 'the best subject ever'}",{},2,ORIGINAL
add,subject,"{'name': 'math', 'description': 'the best subject ever!'}",{},,a21d09a0-366b-4db0-9bb4-206cc084ecd4,"add subject with name=math, description='the best subject ever!'",add,subject,"{'name': 'math', 'description': 'the best subject ever!'}",{},2,ORIGINAL
add,student,{'name': 'anderson'},{},,179dc440-66ef-46ae-8bd8-2fa90ef2d896,add student name=anderson,add,student,{'name': 'anderson'},{},1,ORIGINAL
read,student,{'name': 'anderson'},{},,6f694e0d-9ddf-4229-88d3-cbb3600632d1,get students with name anderson,read,student,{},{'name': 'anderson'},1,ORIGINAL
read,teacher,{},{},,c41aa589-5592-4895-88eb-f8a1028dde6f,show me the teachers,read,teacher,{},{},0,ORIGINAL
read,teacher,{},{},,0f515d96-e4f1-41a7-9cac-6aacde752d16,show teachers,read,teacher,{},{},0,ORIGINAL
read,teacher,{},{},,0f222997-9cf9-4be0-ba22-c69da09d9bd8,show teacher,read,teacher,{},{},0,ORIGINAL
add,outcome,"{'date': 'today', 'description': 'adjusting the numbers'}",{},,768111b3-edb7-4635-8657-854523b52658,"include outcome value 900, date is today, and description is ""adjusting the numbers""",add,outcome,"{'value': '900', 'date': 'today', 'description': 'adjusting the numbers'}",{},3,ORIGINAL
read,invoice,{},{},,04be8744-a75c-4d2e-8393-68843839d517,get invoices,read,invoice,{},{},0,ORIGINAL
add,test,"{'x': 'module', 'date': '01/01/2022', 'timeout': '100', 'limit': '10'}",{},,719f707d-f226-460e-8d3e-29839c3c6765,"add a test with scope=module x, date=01/01/2022, timeout = 100, limit=10",add,test,"{'scope': 'module x', 'date': '01/01/2022', 'timeout': '100', 'limit': '10'}",{},4,ORIGINAL
add,test,"{'scope': 'module', 'number': '8'}",{},,b76136d1-4cd6-48be-8f79-e0e7bda750eb,add a test with scope=module y and number = 8,add,test,"{'scope': 'module y', 'number': '8'}",{},2,ORIGINAL
