processed_intent,processed_class,processed_attributes,processed_filter_attributes,processed_key_quantity,id,user_msg,expected_intent,expected_class,expected_attributes,expected_filter_attributes,expected_key_quantity,dataset
add,student,{'student': 'gomes'},{},,29d8b965-09bc-4211-88f3-16ff587b5580,"add student with name=anderson martins gomes, age=20",add,student,"{'name': 'anderson martins gomes', 'age': '20'}",{},2,ORIGINAL
add,subject,{},{},,64384179-900a-4a4c-bb86-5921f01a92a0,"add subject with name=brazilian history, description=the history of brazil",add,subject,"{'name': 'brazilian history', 'description': 'the history of brazil'}",{},2,ORIGINAL
add,teacher,{'teacher': 'henrique'},{},,045c0bb2-7542-472e-9c34-371b5d592631,"add teacher with name=paulo henrique, age=65, email=ph@uece.br",add,teacher,"{'name': 'paulo henrique', 'age': '65', 'email': 'ph@uece.br'}",{},3,ORIGINAL
add,subject,{},{},,b60b906d-81e9-4cd9-8b2b-851e2b795055,"add subject with name=math, description=the best subject ever",add,subject,"{'name': 'math', 'description': 'the best subject ever'}",{},2,ORIGINAL
add,subject,{},{},,790ee401-5299-477c-a6e6-e1df3598be52,"add subject with name=math, description='the best subject ever!'",add,subject,"{'name': 'math', 'description': 'the best subject ever!'}",{},2,ORIGINAL
add,student,{},{},,cbf0ef75-4d25-4429-9eb3-73d8faf25d9f,add student name=anderson,add,student,{'name': 'anderson'},{},1,ORIGINAL
read,student,{},{},,0f1d140c-d019-4181-a756-a9488bb66ff4,get students with name anderson,read,student,{},{'name': 'anderson'},1,ORIGINAL
read,teacher,{},{},,c063bcd5-d4b0-4d9a-bf99-840350143cd3,show me the teachers,read,teacher,{},{},0,ORIGINAL
read,teacher,{},{},,edba23cd-5ac1-4db1-8d5d-3070f31eb1a8,show teachers,read,teacher,{},{},0,ORIGINAL
,,,,,92eca494-24cf-45ee-9964-6b0696a705f6,show teacher,read,teacher,{},{},0,ORIGINAL
add,outcomevalue,{'dome_created_at': '2025-09-18'},{},,a30d58a1-b7b6-43c7-844c-d4efb1a06571,"include outcome value 900, date is today, and description is ""adjusting the numbers""",add,outcome,"{'value': '900', 'date': 'today', 'description': 'adjusting the numbers'}",{},3,ORIGINAL
read,invoice,{},{},,b4258dc7-7132-4d0d-8126-9f9627920eab,get invoices,read,invoice,{},{},0,ORIGINAL
add,test,{},{},,489c845f-ad84-453a-ace8-d9a4182f5ec5,"add a test with scope=module x, date=01/01/2022, timeout = 100, limit=10",add,test,"{'scope': 'module x', 'date': '01/01/2022', 'timeout': '100', 'limit': '10'}",{},4,ORIGINAL
add,test,{},{},,965e5e4a-d40e-46da-8d05-a6290079722a,add a test with scope=module y and number = 8,add,test,"{'scope': 'module y', 'number': '8'}",{},2,ORIGINAL
add,student,{'student': 'anderson'},{},,87687271-e37d-445c-a7ae-29ec11a5ed7b,"add student with name=anderson, age=199",add,student,"{'name': 'anderson', 'age': '199'}",{},2,ORIGINAL
delete,student,{'student': 'anderson'},{},,e812fce5-c82c-424e-ae1e-4c093ffac5f2,"delete student name is anderson, and age is 199",delete,student,{},"{'name': 'anderson', 'age': '199'}",2,ORIGINAL
add,article,{},{},,ab592f7d-9381-4641-98f0-6c9964fd4b33,"add article with title=the title, author=the author",add,article,"{'title': 'the title', 'author': 'the author'}",{},2,ORIGINAL
update,article,{},,,14e6e90f-daa2-4ff0-970a-d3a2704b5ade,"update article with title ""the title"" and author ""the author"" set the title to ""the new title""",update,article,{'title': 'the new title'},"{'title': 'the title', 'author': 'the author'}",3,ORIGINAL
add,author,{},{},,8ba06a3f-a147-40ae-8d46-ac55dd3f3530,add article with author=anderson,add,article,{'author': 'anderson'},{},1,ORIGINAL
delete,article,{},{},,048cf5e2-72a8-470f-adfc-71ff63bbe06e,"delete article when author=""anderson""",delete,article,{},{'author': 'anderson'},1,ORIGINAL
read,article,{},{},,04d2e5f9-99e7-4e1f-8199-a6761cb0a2d6,show me the articles,read,article,{},{},0,ORIGINAL
add,article,{},{},,b128d41d-9c50-4a5d-8f9a-d375b12515f8,"add article with title=the title, author=the author, abstract=the abstract, keywords=the keywords",add,article,"{'title': 'the title', 'author': 'the author', 'abstract': 'the abstract', 'keywords': 'the keywords'}",{},4,ORIGINAL
update,article,{},,,7fcb4619-83a0-4311-a573-911a2107ad6e,"update article with title ""the title"", setting the co-author as ""anderson gomes""",update,article,{'co_author': 'anderson gomes'},{'title': 'the title'},2,ORIGINAL
